name;description;price;available_on;updated_at;product_type_id;attributes;is_featured;is_published;category_id;seo_description;seo_title;charge_taxes;tax_rate;suplier_id;techdescription
Конструктор Friends 10168;;1230;;;8;"13=>""34""";False;True;11;;;True;standart;3; 314 деталей Размер коробки: 38*26*6,5 см
Конструктор Friends 10541;;2250;;;8;"13=>""34""";False;True;11;;;True;standart;3; 731 деталь
Магнитный конструктор Magical Magnet 198 деталей;"Совместим с Магформерс!

";6350;;;8;"13=>""34""";False;True;11;;;True;standart;3; Размер упаковки: 58*50*9 см   В комплекте: 44 треугольника 40 квадратов 12 пятиугольников 2 шестиугольника 4 равнобедренных треугольника 4 сектора 4 ромба 2 трапеции 8 прямоугольников 6 супер-квадратов 6 супер-треугольников 4 колесные пары 8 частей карусели 54 карточки
Конструктор Nexo Knight 10481;;525;;;8;"13=>""34""";False;True;11;;;True;standart;3; 198 деталей
Гоночный трек 80 pcs;;280;;;8;"13=>""34""";False;True;11;;;True;standart;3;
Конструктор Supreme Heroes 10250;;870;;;8;"13=>""34""";False;True;11;;;True;standart;3; 335 деталей
Конструктор Combat Zones 814;;330;;;8;"13=>""34""";False;True;11;;;True;standart;3; 167 деталей
Светящийся конструктор Light Up Links 128;"Светящийся конструктор Light Up Links - это игрушка со светодиодами, которая развивает воображение, фантазию, мелкую моторику пальцев и пространственное восприятие. Его суть в том, что при конструировании фигур, они начинают светится. Необходимо встяхнуть получившиеся фигуру, она тут же начнем мигать и светится. Конструктор Light Up Links не требует батареек для свечения, влагостойкий и гибкий.

";280;;;8;"13=>""34""";False;True;11;;;True;standart;3;      
Конструктор Combat Zones 821;;2025;;;8;"13=>""34""";False;True;11;;;True;standart;3; 843 детали
Магнитный конструктор Magnetic Blocks 20 деталей;"Магнитный объемный конструктор Magnetic blocks состоит из 20 элементов, в которые входят разные по геометрическим формам детали, колеса и магнитные части, скрепляющиеся между собой, как только приблизятся друг к другу. Для строительства ребенку не нужно прилагать усилий, чтобы соединить элементы. Набор упакован в подарочной коробке с ручкой для удобства переноски.

";1080;;;8;"13=>""34""";False;True;11;;;True;standart;3; Производитель: Китай Модель: 8020 В наборе 20 деталей. Размер: 35х10х30 см  
Магнитный конструктор 39 дет. Paw Patrol;;1245;;;8;"13=>""34""";False;True;11;;;True;standart;3;
