image;ppoi;alt;sort_order;product_id
https://optolider.ru/new/img-03-18/solar_space_7in1.jpg;0.5x0.5; ;0;65
https://optolider.ru/new/img-03-18/solar_space_7in1_02.jpg;0.5x0.5; ;1;65
https://optolider.ru/new/img-03-18/solar_space_7in1_03.jpg;0.5x0.5; ;2;65
;0.5x0.5; ;3;65
https://optolider.ru/new/img-03-18/Penguin_life_01.jpg;0.5x0.5;;0;66
https://optolider.ru/new/img-03-18/Penguin_life_02.jpg;0.5x0.5;;1;66
;0.5x0.5;;2;66
;0.5x0.5;;3;66
https://optolider.ru/new/img-03-18/solar_STALLION_3in1.jpg;0.5x0.5;;0;67
;0.5x0.5;;1;67
;0.5x0.5;;2;67
;0.5x0.5;;3;67
https://optolider.ru/new/img-06-18/green_life.jpg;0.5x0.5;;0;68
;0.5x0.5;;1;68
;0.5x0.5;;2;68
;0.5x0.5;;3;68
https://optolider.ru/new/img-06-18/building_361_01.jpg;0.5x0.5;;0;69
https://optolider.ru/new/img-06-18/building_361_02.jpg;0.5x0.5;;1;69
;0.5x0.5;;2;69
;0.5x0.5;;3;69
https://optolider.ru/new/img-06-18/building_444_01.jpg;0.5x0.5;;0;70
;0.5x0.5;;1;70
;0.5x0.5;;2;70
;0.5x0.5;;3;70
https://optolider.ru/new/img-06-18/building_big.jpg;0.5x0.5;;0;71
;0.5x0.5;;1;71
;0.5x0.5;;2;71
;0.5x0.5;;3;71
https://optolider.ru/new/img-06-18/digital_big_01.jpg;0.5x0.5;;0;72
https://optolider.ru/new/img-06-18/digital_big_02.jpg;0.5x0.5;;1;72
;0.5x0.5;;2;72
;0.5x0.5;;3;72
https://optolider.ru/new/img-06-18/digital_small_01.jpg;0.5x0.5;;0;73
https://optolider.ru/new/img-06-18/digital_small_02.jpg;0.5x0.5;;1;73
;0.5x0.5;;2;73
;0.5x0.5;;3;73
https://optolider.ru/new/img-01-18/petla_136_01.jpg;0.5x0.5;;0;74
https://optolider.ru/new/img-03-18/solar_space_7in1.jpg;0.5x0.5;;1;74
https://optolider.ru/new/img-03-18/solar_space_7in1_02.jpg;0.5x0.5;;2;74
